id,name,stars,stars_raw,scale,year,quarter,price,rooms,ppr,ppr_src,rent,rent_room,yield,deal,comune,sigla,provincia,regione,lat,lon,geo_conf,geo_src,url_place,doc,note,maps
500,Ibis Styles Rome EUR,4,4,,2025,Q4,27200000.0,191,142408,142408,1750000.0,9162.303664921466,0.06433823529411764,Sale,Roma,RM,Roma,Lazio,41.830209,12.456279,high,Google place pin,Hotel ibis Styles Roma Eur,internal file,"Sale and lease back tra Cdp Real Asset sgr e il gruppo Amapa. L’operazione riguarda l’ibis Styles Roma Eur ed è stata condotta tramite il Fondo nazionale turismo comparto A (Ft2) . Aperta nel 2012, la struttura è un 4 stelle sviluppato su una superficie di quasi 9 mila mq e dotato di 191 camere, aree meeting e spazi verdi outdoor. L'hotel diventerà un Mercure dopo un upgrade di 450k a carico di Amapa, che dovrà avvenire nei prossimi 12 mesi.","https://www.google.com/maps/place/Hotel+ibis+Styles+Roma+Eur/@41.8298391,12.4555638,231m/data=!3m2!1e3!5s0x13258b20df62a57f:0x545e492cde981bd2!4m9!3m8!1s0x13258b26bc60c151:0xd2524435550664d9!5m2!4m1!1i2!8m2!3d41.8302092!4d12.4562786!16s%2Fg%2F1ptx3xsd7?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D"
501,Principessa Giovanna Boutique Chalet,3,3,,2025,Q1,1600000.0,23,69565,69565,,,,Sale,Roccaraso,AQ,L'Aquila,Abruzzo,41.822403,14.033205,high,Google place pin,Principessa Giovanna Boutique Chalet,internal file,"Direttamente sulle piste, a fianco impianti di risalita","https://www.google.com/maps/place/Principessa+Giovanna+Boutique+Chalet/@41.8225509,14.0322836,18z/data=!4m9!3m8!1s0x133071bfa0b52fdd:0xb82eb5935a3a5f03!5m2!4m1!1i2!8m2!3d41.8224029!4d14.033205!16s%2Fg%2F1thjr0yf?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D"
502,Hotel Bamby,3,3,,2024,Q4,870000.0,44,19773,19773,,,,Sale,Pescasseroli,AQ,L'Aquila,Abruzzo,41.808785,13.77863,high,Google place pin,Hotel Bamby - Hotel nel parco nazionale d'Abruzzo,internal file,"Risstrutturato recentemente, con piscina","https://www.google.com/maps/place/Hotel+Bamby+-+Hotel+nel+parco+nazionale+d'Abruzzo/@41.8086407,13.7778518,18.2z/data=!4m9!3m8!1s0x13300feb03f11c63:0x7671ed1aebd34f58!5m2!4m1!1i2!8m2!3d41.8087853!4d13.7786296!16s%2Fg%2F11hf7stn24?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D"
503,Hotel Russott,4,4,,2025,Q3,8000000.0,182,43956,43956,,,,Sale,Venezia,VE,Venezia,Veneto,45.477936,12.26978,high,Google place pin,Russott Hotel,internal file,"La società ""RUSSOTTI GESTIONI HOTELS S.p.A."" vende alla società ""Apex Paval Mestre S.r.l."" L'hotel era chiuso da 3 anni","https://www.google.com/maps/place/Russott+Hotel/@45.4777633,12.2689647,248m/data=!3m1!1e3!4m17!1m9!3m8!1s0x477eb3f971358207:0x9da131cd243e813f!2sRussott+Hotel!8m2!3d45.4779364!4d12.2697801!9m1!1b1!16s%2Fg%2F1tm0r_k8!3m6!1s0x477eb3f971358207:0x9da131cd243e813f!8m2!3d45.4779364!4d12.2697801!10e1!16s%2Fg%2F1tm0r_k8?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D"
504,Mercure Rimini Lungomare,4,4,,2025,Q4,7000000.0,48,145833,145833,,,,Sale,Rimini,RN,Rimini,Emilia-Romagna,44.069612,12.5797,high,Google place pin,Hotel Mercure Rimini Lungomare,Bulletin,"È passato di mano lo scorso dicembre per 7 milioni di euro il Mercure Rimini Lungomare. Ad acquisire la proprietà dalla famiglia Pollarini sono stati i Lima, già al timone delle operazioni dell’albergo da diversi anni e che ora hanno deciso di diventarne pure i titolari. L’hotel è un 4 stelle da 48 camere, bar, sala meeting, una piscina outdoor e una per bambini, palestra e parcheggio.","https://www.google.com/maps/place/Hotel+Mercure+Rimini+Lungomare/@44.0696115,12.5771246,674m/data=!3m1!1e3!4m9!3m8!1s0x132cc377723a15b1:0x7c378a0fb8dd3d5e!5m2!4m1!1i2!8m2!3d44.0696115!4d12.5796995!16s%2Fg%2F1tjyqvz8?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D"
505,NH Parma,4,4,,2026,Q1,15700000.0,120,130833,135800,,,0.07,Sale,Parma,PR,Parma,Emilia-Romagna,44.810949,10.329316,high,Google place pin,Hotel NH Parma,,"I FRANCESI DI REMAKE ASSET MANAGEMENT ACQUISISCONO L’NH PARMA PER 15,7 MLN L’hotel è un 4 stelle superior da 120 chiavi e otto sale meeting già di proprietà di Bn e Dv Investimenti","https://www.google.com/maps/place/Hotel+NH+Parma/@44.8109523,10.3267408,16z/data=!3m1!4b1!4m9!3m8!1s0x47806aeceabee263:0xef048477e424d120!5m2!4m1!1i2!8m2!3d44.8109485!4d10.3293157!16s%2Fg%2F1q2wbjp_2?entry=ttu&g_ep=EgoyMDI2MDMwMS4xIKXMDSoASAFQAw%3D%3D"
506,SMY Bologna Centrale,4,4,,2024,Q2,12094737.0,82,147497,147497,,,,Sale,,,,,,,nan,nan,Smy Bologna Centrale,Foglio 161 Part. 131 Sub 247,,https://www.google.com/maps/place/Smy+Bologna+Centrale/
507,Idea Hotel Plus Savona,4,4,,2025,Q3,3700000.0,102,36275,36275,,,,Sale,,,,,,,nan,nan,Idea Hotel Savona,Foglio 75 Part. 393 Sub 206,,https://www.google.com/maps/place/Idea+Hotel+Savona/
508,Hotel Golfo e Palme,3,3,,2023,Q1,3800000.0,43,88372,88372,,,,Sale,,,,,,,nan,nan,Hotel Golfo e Palme,Foglio 5 Part.960 Sub5,,https://www.google.com/maps/place/Hotel+Golfo+e+Palme/
509,Hotel Ristorante Lorenzo,3,3,,2025,Q1,2035000.0,24,84792,84792,,,,Sale,,,,,,,nan,nan,Hotel Ristorante Lorenzo,Foglio 6 Particella 443,,https://www.google.com/maps/place/Hotel+Ristorante+Lorenzo/
510,Carrick Hotel Camogli,5,5,,2024,Q2,6750000.0,25,270000,270000,,,,Sale,,,,,,,nan,nan,Carrick Hotel Camogli,Foglio 7 Particella 227,,https://www.google.com/maps/place/Carrick+Hotel+Camogli
511,Hotel Excelsior,4,4,,2021,Q3,9000000.0,87,103448,103448,,,,Sale,,,,,,,nan,nan,Hotel Excelsior,Foglio 8 Particella 12 Sub 2,,https://www.google.com/maps/place/Hotel+Excelsior/
512,"Principessa Forte dei Marmi, Autograph Collection",4,4,,2023,Q3,10000000.0,39,256410,256410,,,,Sale,,,,,,,nan,nan,Principessa Forte dei Marmi,,,https://www.google.com/maps/place/Principessa+Forte+dei+Marmi
513,Hotel Belvedere,4,4,,2022,Q1,11500000.0,34,338235,338235,,,,Sale,,,,,,,nan,nan,Hotel Belvedere,Foglio 13 Particella 336 Sub 3,,https://www.google.com/maps/place/Hotel+Belvedere/
514,Donnafugata Golf Resort & Spa,5,5,,2025,Q4,22661000.0,194,116809,116809,,,,Sale,,,,,,,nan,nan,Donnafugata Golf Resort,,,https://www.google.com/maps/place/Donnafugata+Golf+Resort
515,Club Med Kamarina Resort,3,3,,2024,Q3,37500000.0,636,58962,58962,,,,Sale,,,,,,,nan,nan,Kamarina Resort,,,https://www.google.com/maps/place/Kamarina+Resort
516,Best Western Plus Hotel Expo Verona di Villafranca,4,4,,2026,Q2,8000000.0,113,70796,70796,,,,Sale,,,,,,,nan,nan,B&B HOTEL Expo Verona,Bulletin 30/03/26,"La Scpi francese Atream Hotels, sostanzialmente il corrispondente transalpino di una Siiq non quotata, acquisisce e lo converte in un B&B Hotels.",https://www.google.com/maps/place/B%26B+HOTEL+Expo+Verona
517,Hotel Euromar Rimini,3,3,,2026,Q2,,53,,,,,,Share Deal,,,,,,,nan,nan,Hotel Euromar Rimini,https://legalcommunity.it/rodl-con-binderhoff-rimini-nellacquisizione-di-due-hotel/,"L’iniziativa è sostenuta da Binderhoff AS, che opera nel settore immobiliare e delle costruzioni nei Paesi Baltici. Binderhoff AS è l’azionista di controllo di Newcom, sviluppatore residenziale in Lettonia, e di Newcom Construction, impresa di costruzione nel Paese. HOTEL EuroMar e Urania",https://www.google.com/maps/place/Hotel+Euromar+Rimini
518,Arcimboldi,4,4,,,,,,,,,,,Sale,,,,,,,nan,nan,,,,
519,Hotello Padova,3,3,,2026,Q2,4500000.0,150,30000,30000,,,,Sale,,,,,,,nan,nan,,Bulletin 21/03/26,Posti letto 0stello,
520,Eden Bleu,4,4,,2023,Q3,2100000.0,24,87500,87500,,,,Sale,,,,,,,nan,nan,,,,
521,Hotel Rivoli Sorrento,3,3,,2025,Q4,3400000.0,15,226667,226667,,,,Sale,,,,,,,nan,nan,,,,
522,HOTEL KALI SORRENTO,3,3,,2024,Q3,1220000.0,13,93846,93846,,,,Sale,,,,,,,nan,nan,,,,
523,Hotel Palazzo Antonietta,4,4,,2024,Q3,1580079.0,20,79004,79004,,,,Sale,,,,,,,nan,nan,,,,
524,Hotel Venere in Ascea Marina,3,3,,2024,Q4,1170000.0,25,46800,46800,,,,Sale,,,,,,,nan,nan,,,,
525,Borgo Villa Maria,3,3,,2025,Q2,1300000.0,30,43333,43333,,,,Sale,,,,,,,nan,nan,,,,
526,Palace Hotel Matera,4,4,,2023,Q3,6000000.0,65,92308,92308,,,,Sale,,,,,,,nan,nan,,,Conversione apt,
527,Ristorante Hotel Lido di Angera,3,3,,2024,Q4,5200000.0,17,305882,305882,,,,Sale,,,,,,,nan,nan,,,Conversione apt,
528,Hotel Meliá Genova,5,5,,2026,Q2,,99,,,,,,Sale,,,,,,,nan,nan,,https://www.linkedin.com/posts/meli%C3%A1-hotels-international-ha-perfezionato-share-7464592096705036288-pR0b/?utm_source=share&utm_medium=member_android&rcm=ACoAAAAKu9kBerDlD2-eb5hzlpSVL82bnYMUMEQ,,
529,CitizenM,4,4,,2026,Q3,70000000.0,162,432099,432099,,,,Sale,,,,,,,nan,nan,,,,
530,Le Massif Courmayeur,5,5,,2026,Q1,24194261.5,80,302428,302428,,,,Sale,,,,,,,nan,nan,,,,
531,Lindenhof Pure Luxury & Spa DolceVita Resort,5,5,,2026,Q3,,80,,,,,,Sale,,,,,,,nan,nan,,,,
532,Hilton Garden Inn Milan North,4,4,,2026,Q2,23000000.0,193,119171,119171,,,,Sale,Milano,MI,Milano,Lombardia,45.516174,9.227164,high,Google place pin,Hilton Garden Inn Milan North,internal file,Della  Frera (gestore) ha comprato da AMCO,"https://www.google.com/maps/place/Hilton+Garden+Inn+Milan+North/@45.5161315,9.2267619,164m/data=!3m1!1e3!4m9!3m8!1s0x4786c76bd2bbaedd:0x47def1209d9e33e1!5m2!4m1!1i2!8m2!3d45.5161735!4d9.2271638!16s%2Fg%2F11b7hqktnb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
533,Hotel Executive,4,4,,2026,Q2,1740000.0,77,22597,22597,,,,Auction,,,,,,,nan,nan,,Bulletin,"È stato acquisito alla terza asta da un imprenditore friulano di cui ancora non si conosce l’identità l’hotel Executive di Udine. L’aggiudicazione, rivela il Messaggero Veneto, è avvenuta al prezzo base di 1,74 milioni di euro, ribassato rispetto ai precedenti due tentativi andati a vuoto (2,3 milioni), ma pur sempre superiore all’offerta minima di poco più di 1,3 milioni. La struttura è un 4 stelle costruito nel 1992, si sviluppa su quattro piani fuori terra e uno interrato, per 3.866 mq di superficie complessiva. Include tra le altre cose una hall/reception, sale riunioni, bar, ristorante e 77 camere totali. Insieme all’albergo vero e proprio, l’imprenditore friulano si è aggiudicato anche l’adiacente centro congressi realizzato nel 2000 su una superficie di 2 mila mq sviluppata su tre piani, due dei quali fuori terra.",
